Name,Price,Link-For-Product,Size-Of-Product
"HEAVY SATIN TROUSERS [S,M,L]",₨900.00,http://fmjclothing.jhapto.com/product/heavy-satin-trousers/,"S,M,L"
"Jersey Culottes with Pin tucks Detail [S,M,L]","₨2,100.00",http://fmjclothing.jhapto.com/product/jersey-culottes-with-pin-tucks-detail/,"S,M,L"
"PLEATED TROUSERS [S,M,L]","₨1,300.00",http://fmjclothing.jhapto.com/product/pleated-trousers/,"S,M,L"
"Skinny Fit Non-Denim Pants [S,M,L]","₨1,800.00",http://fmjclothing.jhapto.com/product/skinny-fit-non-denim-pants/,"S,M,L"
"Striped Flared Trousers [S,M,L]","₨1,800.00",http://fmjclothing.jhapto.com/product/striped-flared-trousers/,"S,M,L"
No name,0,none,none
No name,0,none,none
No name,0,none,none
No name,0,none,none
No name,0,none,none
No name,0,none,none
No name,0,none,none
